feature,importance
atr_14,0.2233146144727513
rsi_14,0.2145764041755787
macd_histogram,0.2026867636151263
macd,0.09540184106888519
bb_width,0.06439703921843286
macd_signal,0.04842005101293266
sma_50,0.03733854074360245
daily_return,0.03531552753636404
sma_20,0.022038199462967756
vwap,0.019114320241534016
ema_50,0.016480128779214225
volume_ratio,0.010496961778922433
ema_20,0.010419607893687994
sentiment_score,0.0
news_count,0.0
confidence_score,0.0
nifty_trend_score,0.0
sector_trend_score,0.0
market_health_score,0.0
